Index,LCSC#,MPN,Manufacturer,Package,Customer #,Description,RoHS,Quantity,MOQ,Multiple,Unit Price($),Extended Price($),Product Link
1,C109392,35ZLH100MEFC6.3X11,Rubycon,"Through Hole,D6.3xL11mm",,"100uF 35V 270mA@120Hz ±20% Through Hole,D6.3xL11mm Aluminum Electrolytic Capacitors - Leaded ROHS",yes,10,10,10,0.0606,0.61,https://www.lcsc.com/product-detail/C109392.html
2,C2890491,MCP3008-I/P,MICROCHIP,PDIP-16,,10 2.7V~5.5V 200kHz SPI PDIP-16 Analog to Digital Converters (ADC) ROHS,yes,1,1,1,4.9696,4.97,https://www.lcsc.com/product-detail/C2890491.html
3,C720525,USB-231-ARY,XUNPU,Through Hole,,1.5A USB 2.0 1 Right Angle 4P Female -20℃~+70℃ Type-A Through Hole USB Connectors ROHS,yes,5,5,5,0.1328,0.66,https://www.lcsc.com/product-detail/C720525.html
4,C2895025,USB-301WD-ARY,XUNPU,Through Hole,,USB 3.0 1.8A 1 Right Angle 9P Female -55℃~+85℃ Type-A Through Hole USB Connectors ROHS,yes,5,5,5,0.3278,1.64,https://www.lcsc.com/product-detail/C2895025.html
5,C3235509,RT9742SNGV,RICHTEK,SOT-23-3,,2.7V~6V 70mΩ 500mA 1 SOT-23-3 Power Distribution Switches ROHS,yes,5,5,5,0.2704,1.35,https://www.lcsc.com/product-detail/C3235509.html
6,C250547,RT9742GGJ5,RICHTEK,TSOT-23-5,,2.7V~6V 70mΩ Active High 1A 1 High Side Switch TSOT-23-5 Power Distribution Switches ROHS,yes,5,5,5,0.1915,0.96,https://www.lcsc.com/product-detail/C250547.html
7,Tactile switches D-pad analog sticks,TC-6615-9.0-160G,HCTL,Through Hole,3d print,"No With Bracket 50mA 6mm 100,000 Cycles 12V 1.6N 6mm 9mm Round Button Right Angle SPST Through Hole Tactile Switches ROHS",yes,20,20,20,0.0301,0.60,https://www.lcsc.com/product-detail/C6575016.html
8,Components for self assembly, find bom here pcb\export_cart_20250809_065049.csv,B4B-XH-A(LF)(SN),JST,"Through Hole,P=2.5mm",,"1x4P 4P XH Tin 4 -25℃~+85℃ 3A 1 2.5mm Brass Through Hole Through Hole,P=2.5mm Wire To Board Connector ROHS",yes,10,10,10,0.0482,0.48,https://www.lcsc.com/product-detail/C144395.html
,,YF16S-FL7.2-B5Kb(45-10)-Y,YTL,"Through Hole-14P,25.5x20.3mm",,"Through Hole-14P,25.5x20.3mm Navigation Switches, Joystick ROHS",yes,2,1,1,0.5766,1.15,https://www.lcsc.com/product-detail/C37323740.html
10,C67531,74LVC1G07SE-7,DIODES,SOT-353,,"1 32mA 1.65V~5.5V 1 SOT-353 Buffers, Drivers, Receivers, Transceivers ROHS",yes,10,10,10,0.0484,0.48,https://www.lcsc.com/product-detail/C67531.html
11,C2858290,10*10*9-6P WX,SHOU HAN,"SMD-6P,10x10mm",,"5-Way Switch SMD-6P,10x10mm Multi-Directional Switches ROHS",yes,1,1,1,0.3666,0.37,https://www.lcsc.com/product-detail/C2858290.html
12,C385283,RN1WS15KΩFT/BA1,TyoHM,"Through Hole,D3.3xL9.2mm",,"Metal Film Resistor 15kΩ 1W ±50ppm/℃ ±1% Through Hole,D3.3xL9.2mm Through Hole Resistors ROHS",yes,20,20,20,0.0198,0.40,https://www.lcsc.com/product-detail/C385283.html
13,C2903245,MF1/4W-1K±1%-ST52,VO,"Through Hole,D2.7xL6.2mm",,"Metal Film Resistor 1kΩ 250mW ±100ppm/℃ ±1% Through Hole,D2.7xL6.2mm Through Hole Resistors ROHS",yes,100,100,100,0.0051,0.51,https://www.lcsc.com/product-detail/C2903245.html
14,C714002,MF1/4W-2.2KΩ±1%T52,Huaxing Mechanical-Elec.,"Through Hole,D2.3xL6.5mm",,"Metal Film Resistor 2.2kΩ 250mW ±200ppm/℃ ±1% Through Hole,D2.3xL6.5mm Through Hole Resistors ROHS",yes,100,100,100,0.0071,0.71,https://www.lcsc.com/product-detail/C714002.html
15,C7528718,TC-6610 6*6*13 260g,FG,"Through Hole,6x6mm",,"Without Bracket 50mA Round Button Through Hole SPST 12V 2.6N Through Hole,6x6mm Tactile Switches ROHS",yes,10,10,10,0.0243,0.24,https://www.lcsc.com/product-detail/C7528718.html
16,C369072,HDMI-019A,SOFNG,"Through Hole,Right Angle",,"Through Hole,Right Angle HDMI Connectors ROHS",yes,1,1,1,0.3923,0.39,https://www.lcsc.com/product-detail/C369072.html
17,C254085,CC1H104MC1FD3F6C10MF,Dersonic,"Through Hole,P=5.08mm",,"±20% 100nF Y5V 50V Through Hole,P=5.08mm Through Hole Ceramic Capacitors ROHS",yes,50,50,50,0.0187,0.94,https://www.lcsc.com/product-detail/C254085.html
18,C1511768,AP22653AW6-7,DIODES,SOT-26,,3V~5.5V 65mΩ Active High 2.1A 1 High Side Switch SOT-26 Power Distribution Switches ROHS,yes,5,5,5,0.1692,0.85,https://www.lcsc.com/product-detail/C1511768.html
19,C7430165,KDMG28008-05WA,KINGSTATE,-,,10% 8Ω 700Hz 95dB 500mW Speakers ROHS,yes,2,1,1,1.3790,2.76,https://www.lcsc.com/product-detail/C7430165.html
